model;method;features/C;BA;Score
knn;gini;70;0.8110240078392945;0.8110240078392945
knn;gini;80;0.8110240078392945;0.8110240078392945
knn;gini;90;0.8110240078392945;0.8110240078392945
knn;gini;100;0.8110240078392945;0.8110240078392945
knn;gini;110;0.8110240078392945;0.8110240078392945
knn;gini;120;0.8110240078392945;0.8110240078392945
knn;gini;130;0.8110240078392945;0.8110240078392945
knn;gini;140;0.8110240078392945;0.8110240078392945
knn;gini;150;0.8110240078392945;0.8110240078392945
rf;chi2;25;0.8102890739833415;0.8102890739833415
lr;l1;0.02;0.8102890739833415;0.8102890739833415
svc;chi2;15;0.8096276335129838;0.8096276335129838
rf;chi2;20;0.8096276335129838;0.8096276335129838
knn;l1;0.01;0.8090396864282214;0.8090396864282214
knn;chi2;25;0.8077168054875061;0.8077168054875061
knn;chi2;20;0.80578147966683;0.80578147966683
xgb;chi2;15;0.8051445369916708;0.8051445369916708
lda;chi2;30;0.8032582067613915;0.8032582067613915
dt;chi2;25;0.8025967662910338;0.8025967662910338
lda;chi2;25;0.7949044585987262;0.7949044585987262
dt;chi2;20;0.7929691327780499;0.7929691327780499
knn;chi2;15;0.7903968642822146;0.7903968642822146
rf;chi2;15;0.7891229789318961;0.7891229789318961
dt;chi2;15;0.788486036256737;0.788486036256737
lda;gini;20;0.7859872611464969;0.7859872611464969
lda;gini;30;0.7859872611464969;0.7859872611464969
lda;gini;40;0.7859872611464969;0.7859872611464969
lda;gini;50;0.7859872611464969;0.7859872611464969
lda;gini;60;0.7859872611464969;0.7859872611464969
lda;gini;70;0.7859872611464969;0.7859872611464969
lda;gini;80;0.7859872611464969;0.7859872611464969
lda;gini;90;0.7859872611464969;0.7859872611464969
lda;gini;100;0.7859872611464969;0.7859872611464969
lda;gini;110;0.7859872611464969;0.7859872611464969
lda;gini;120;0.7859872611464969;0.7859872611464969
lda;gini;130;0.7859872611464969;0.7859872611464969
lda;gini;140;0.7859872611464969;0.7859872611464969
lda;gini;150;0.7859872611464969;0.7859872611464969
lda;chi2;20;0.7769475747182754;0.7769475747182754
lr;chi2;30;0.77437530622244;0.77437530622244
lda;chi2;15;0.7698922097011269;0.7698922097011269
lr;chi2;25;0.7666829985301322;0.7666829985301322
svc;chi2;10;0.7532092111709946;0.7532092111709946
lr;chi2;20;0.7525722684958354;0.7525722684958354
knn;chi2;10;0.7455169034786869;0.7455169034786869
xgb;chi2;10;0.7416707496325331;0.7416707496325331
dt;chi2;10;0.7339784419402253;0.7339784419402253
rf;chi2;10;0.7301322880940715;0.7301322880940715
lr;gini;20;0.7269720725134738;0.7269720725134738
lr;gini;30;0.7269720725134738;0.7269720725134738
lr;gini;40;0.7269720725134738;0.7269720725134738
lr;gini;50;0.7269720725134738;0.7269720725134738
lr;gini;60;0.7269720725134738;0.7269720725134738
lr;gini;70;0.7269720725134738;0.7269720725134738
lr;gini;80;0.7269720725134738;0.7269720725134738
lr;gini;90;0.7269720725134738;0.7269720725134738
lr;gini;100;0.7269720725134738;0.7269720725134738
lr;gini;110;0.7269720725134738;0.7269720725134738
lr;gini;120;0.7269720725134738;0.7269720725134738
lr;gini;130;0.7269720725134738;0.7269720725134738
lr;gini;140;0.7269720725134738;0.7269720725134738
lr;gini;150;0.7269720725134738;0.7269720725134738
svc;chi2;5;0.7262861342479177;0.7262861342479177
lr;chi2;15;0.7224399804017638;0.7224399804017638
knn;chi2;5;0.71859382655561;0.71859382655561
xgb;chi2;5;0.7147476727094562;0.7147476727094562
lda;chi2;5;0.7109015188633023;0.7109015188633023
lda;chi2;10;0.7109015188633023;0.7109015188633023
rf;chi2;5;0.7109015188633023;0.7109015188633023
dt;chi2;5;0.7109015188633023;0.7109015188633023
lda;l1;0.01;0.6878735913767761;0.6878735913767761
lr;chi2;10;0.6846153846153846;0.6846153846153846
lr;chi2;5;0.6730769230769231;0.6730769230769231
lr;l1;0.01;0.6519598236158746;0.6519598236158746
